Book_Id,Title,Author,Author_l-f,Additional_Authors,ISBN,ISBN13,My_Rating,Average_Rating,Publisher,Binding,Number_of_Pages,Year_Published,Original_Publication_Year,Date_Read,Date_Added,Bookshelves,Bookshelves_with_positions,Exclusive_Shelf,My_Review,Spoiler,Private_Notes,Read_Count,Recommended_For,Recommended_By,Owned_Copies,Original_Purchase_Date,Original_Purchase_Location,Condition,Condition_Description,BCID
37638098,Creative Selection: Inside Apple's Design Process During the Golden Age of Steve Jobs,Ken Kocienda,"Kocienda, Ken",,1250194466,9781250194466,0,4.04,St. Martin's Press,Hardcover,264,2018,2018,,11/19/18,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
30547646,Why Time Flies: A Mostly Scientific Investigation,Alan Burdick,"Burdick, Alan",,141654027X,9781416540274,0,3.42,Simon  Schuster,Hardcover,320,2017,2017,,11/18/18,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
327,Why Zebras Don't Get Ulcers,Robert M. Sapolsky,"Sapolsky, Robert M.",,805073698,9780805073690,0,4.17,Holt Paperbacks,Paperback,560,2004,1993,,11/18/18,"to-read, might","to-read (#46), might (#20)",to-read,,,,0,,,0,,,,,
30780235,The Knowledge Illusion: Why We Never Think Alone,Steven Sloman,"Sloman, Steven",Philip Fernbach,039918435X,9780399184352,0,3.86,Riverhead Books,Hardcover,304,2017,2017,,11/18/18,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
138878,The Way to Love,Anthony de Mello,"Mello, Anthony de",J. Francis Stroud,038524939X,9780385249393,0,4.14,Image,Paperback,196,1995,1991,,11/12/18,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
39939050,The Book of Humans: The Story of How We Became Us,Adam Rutherford,"Rutherford, Adam",,,,0,3.88,Weidenfeld & Nicolson,Kindle Edition,272,2018,2019,,11/10/18,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
1501364,Models of My Life,Herbert A. Simon,"Simon, Herbert A.",,026269185X,9780262691857,0,3.8,MIT Press,Paperback,415,1996,1991,,11/4/18,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
15895832,Influence: Science and Practice: The Comic,Robert B. Cialdini,"Cialdini, Robert B.","Nathan Lueth, Nadja Baer",161066020X,9781610660204,0,3.99,Writers of the Round Table Press,Paperback,82,2012,2012,,11/3/18,"might, to-read","might (#19), to-read (#41)",to-read,,,,0,,,0,,,,,
3828902,Thinking in Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana       Wright,1603580557,9781603580557,0,4.27,Chelsea Green Publishing,Paperback,240,2008,2008,,7/28/18,"might, currently-reading","might (#14), currently-reading (#2)",currently-reading,,,,1,,,0,,,,,
20821140,World Order,Henry Kissinger,"Kissinger, Henry",,1594206147,9781594206146,0,4.06,Penguin Press,Hardcover,420,2014,2014,,10/26/18,"might, to-read","might (#18), to-read (#40)",to-read,,,,0,,,0,,,,,
36288143,Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily  Chang,"Chang, Emily",,,,0,4.01,Portfolio,Kindle Edition,317,2018,2018,10/5/18,9/26/18,,,read,,,,1,,,0,,,,,
29940834,The Great Convergence: Information Technology and the New Globalization,Richard Baldwin,"Baldwin, Richard",,067466048X,9780674660489,0,4.08,Belknap Press,Hardcover,344,2016,2019,,9/26/18,"to-read, might","to-read (#39), might (#17)",to-read,,,,0,,,0,,,,,
39286958,Measure What Matters,John E. Doerr,"Doerr, John E.",,,,2,4.02,Penguin,Kindle Edition,320,2018,2017,9/24/18,5/17/18,,,read,,,,1,,,0,,,,,
207781,The Art Spirit,Robert Henri,"Henri, Robert","Forbes Watson, Margery A. Ryerson",64301389,9780064301381,0,3.89,Westview Press,Paperback,284,1984,1929,,9/15/18,"might, to-read","might (#16), to-read (#38)",to-read,,,,0,,,0,,,,,
